market_side,timestamp_utc,open_cents,close_cents,high_cents,low_cents,yes_bid_close_cents,yes_ask_close_cents,volume,open_interest
SIU,2026-08-26T18:00:00+00:00,90.0,90.0,90.0,90.0,69.0,93.0,447.0,453.28
SIU,2026-08-26T19:00:00+00:00,,,,,71.0,93.0,0.0,453.28
SIU,2026-08-26T20:00:00+00:00,,,,,74.0,93.0,0.0,453.28
SIU,2026-08-26T21:00:00+00:00,,,,,76.0,93.0,0.0,453.28
SIU,2026-08-26T22:00:00+00:00,,,,,75.0,93.0,0.0,453.28
SIU,2026-08-26T23:00:00+00:00,,,,,78.0,93.0,0.0,453.28
SIU,2026-08-27T00:00:00+00:00,,,,,79.0,93.0,0.0,453.28
SIU,2026-08-27T01:00:00+00:00,,,,,78.0,93.0,0.0,453.28
SIU,2026-08-27T03:00:00+00:00,,,,,80.0,93.0,0.0,453.28
SIU,2026-08-27T04:00:00+00:00,,,,,81.0,93.0,0.0,453.28
SIU,2026-08-27T05:00:00+00:00,,,,,82.0,93.0,0.0,453.28
SIU,2026-08-27T06:00:00+00:00,,,,,82.0,93.0,0.0,453.28
SIU,2026-08-27T08:00:00+00:00,,,,,82.0,93.0,0.0,453.28
SIU,2026-08-27T10:00:00+00:00,,,,,82.0,93.0,0.0,453.28
SIU,2026-08-27T11:00:00+00:00,,,,,82.0,93.0,0.0,453.28
SIU,2026-08-27T15:00:00+00:00,,,,,82.0,93.0,0.0,453.28
SIU,2026-08-27T16:00:00+00:00,,,,,82.0,93.0,0.0,453.28
SIU,2026-08-27T17:00:00+00:00,,,,,82.0,93.0,0.0,453.28
SIU,2026-08-27T19:00:00+00:00,,,,,72.0,93.0,0.0,453.28
SIU,2026-08-27T20:00:00+00:00,,,,,76.0,93.0,0.0,453.28
SIU,2026-08-27T21:00:00+00:00,77.0,77.0,77.0,77.0,77.0,92.0,3.0,456.28
SIU,2026-08-27T22:00:00+00:00,,,,,77.0,93.0,0.0,456.28
SIU,2026-08-27T23:00:00+00:00,,,,,77.0,93.0,0.0,456.28
SIU,2026-08-28T00:00:00+00:00,,,,,77.0,93.0,0.0,456.28
SIU,2026-08-28T01:00:00+00:00,,,,,78.0,92.0,0.0,456.28
SIU,2026-08-28T02:00:00+00:00,,,,,78.0,93.0,0.0,456.28
SIU,2026-08-28T03:00:00+00:00,,,,,80.0,93.0,0.0,456.28
SIU,2026-08-28T04:00:00+00:00,,,,,82.0,93.0,0.0,456.28
SIU,2026-08-28T05:00:00+00:00,,,,,84.0,93.0,0.0,456.28
SIU,2026-08-28T06:00:00+00:00,,,,,86.0,93.0,0.0,456.28
SIU,2026-08-28T07:00:00+00:00,,,,,88.0,93.0,0.0,456.28
SIU,2026-08-28T08:00:00+00:00,,,,,89.0,93.0,0.0,456.28
